ID,Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,Cluster
71,Sport & mainanan,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,edukasi,Netral,Sangat Setuju,Tidak Setuju,Tidak Setuju,1
72,Sport & mainanan,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Alat Seni,Netral,Tidak Setuju,Netral,Setuju,1
73,Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Seni,edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,3
74,Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Daily needs,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral,3
75,Buku Non-Fiksi,Website Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional,edukasi,Tidak Setuju,Tidak Setuju,Netral,Tidak Setuju,0
76,Novel Fiksi,Toko Gramedia,Menambah pengetahuan,Seni,edukasi,Sangat Setuju,Tidak Setuju,Tidak Setuju,Setuju,0
77,Komik,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Daily needs,Netral,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,2
78,Buku Non-Fiksi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Self Wear,Tidak Setuju,Netral,Netral,Tidak Setuju,1
79,Sport & mainanan,Toko buku independen lainnya,Hiburan atau relaksasi,Literasi,Daily needs,Tidak Setuju,Netral,Setuju,Sangat Setuju,1
80,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Seni,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,3
81,Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Self Wear,Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,2
82,Buku Anak,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,0
83,Alat Kantor/Sekolah,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,edukasi,Netral,Netral,Tidak Setuju,Setuju,0
84,Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Alat Seni,Setuju,Netral,Sangat Setuju,Netral,2
85,Alat Kantor/Sekolah,Aplikasi Gramedia.com,Kado atau hadiah,Lifestyle,Self Wear,Netral,Setuju,Sangat Setuju,Sangat Setuju,1
86,Alat Seni,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Daily needs,Sangat Setuju,Netral,Setuju,Tidak Setuju,4
87,Buku Non-Fiksi,Toko buku independen lainnya,Hiburan atau relaksasi,Seni,Alat Seni,Tidak Setuju,Netral,Sangat Setuju,Netral,4
88,Alat Seni,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Aktivitas Rekreasional,Alat Seni,Netral,Sangat Setuju,Netral,Sangat Tidak Setuju,0
89,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Literasi,edukasi,Sangat Tidak Setuju,Setuju,Netral,Tidak Setuju,0
90,Sport & mainanan,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,edukasi,Sangat Setuju,Sangat Setuju,Setuju,Netral,2
91,Alat Seni,Website Gramedia.com,Hiburan atau relaksasi,Seni,Self Wear,Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,2
92,Alat Seni,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Daily needs,Netral,Setuju,Setuju,Netral,2
93,Komik,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Daily needs,Sangat Tidak Setuju,Sangat Setuju,Netral,Setuju,1
94,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Daily needs,Netral,Tidak Setuju,Tidak Setuju,Setuju,0
95,Buku Anak,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju,4
96,Komik,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Seni,Alat Seni,Netral,Tidak Setuju,Sangat Setuju,Netral,0
97,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Seni,Daily needs,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,3
98,Sport & mainanan,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,edukasi,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,0
99,Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Self Wear,Sangat Setuju,Setuju,Netral,Sangat Tidak Setuju,1
100,Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Aktivitas Rekreasional,edukasi,Tidak Setuju,Setuju,Sangat Setuju,Sangat Setuju,4
101,Alat Kantor/Sekolah,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,edukasi,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,0
102,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,edukasi,Setuju,Tidak Setuju,Tidak Setuju,Setuju,0
103,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Literasi,Self Wear,Sangat Tidak Setuju,Netral,Setuju,Sangat Setuju,1
104,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Aktivitas Rekreasional,edukasi,Netral,Sangat Setuju,Tidak Setuju,Tidak Setuju,0
105,Sport & mainanan,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Alat Seni,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,1
106,Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,0
107,Buku Anak,Toko Gramedia,Kado atau hadiah,Literasi,Self Wear,Setuju,Netral,Tidak Setuju,Netral,2
108,Novel Fiksi,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,4
109,Sport & mainanan,Aplikasi Gramedia.com,Menambah pengetahuan,Seni,edukasi,Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Setuju,3
110,Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,edukasi,Sangat Setuju,Netral,Sangat Tidak Setuju,Tidak Setuju,4
111,Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Tidak Setuju,Setuju,Sangat Tidak Setuju,0
112,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Literasi,edukasi,Netral,Tidak Setuju,Tidak Setuju,Setuju,0
113,Buku Non-Fiksi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,edukasi,Sangat Setuju,Netral,Sangat Tidak Setuju,Tidak Setuju,3
114,Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,edukasi,Netral,Tidak Setuju,Tidak Setuju,Netral,0
115,Buku Non-Fiksi,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Daily needs,Sangat Tidak Setuju,Tidak Setuju,Setuju,Sangat Setuju,0
116,Alat Kantor/Sekolah,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Alat Seni,Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju,0
117,Novel Fiksi,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Alat Seni,Sangat Tidak Setuju,Sangat Setuju,Setuju,Sangat Tidak Setuju,2
118,Sport & mainanan,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Daily needs,Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral,2
119,Alat Kantor/Sekolah,Toko buku independen lainnya,Kado atau hadiah,Aktivitas Rekreasional,Daily needs,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju,0
120,Sport & mainanan,Toko Gramedia,Untuk mengekspresikan kreativitas,Lifestyle,Daily needs,Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,1
121,Alat Seni,Aplikasi Gramedia.com,Hiburan atau relaksasi,Seni,Self Wear,Sangat Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju,3
122,Edukasi,Website Gramedia.com,Menambah pengetahuan,Literasi,edukasi,Netral,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,0
123,Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Lifestyle,edukasi,Netral,Sangat Tidak Setuju,Sangat Setuju,Netral,4
124,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Literasi,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,4
125,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,edukasi,Netral,Setuju,Setuju,Tidak Setuju,0
126,Buku Non-Fiksi,Website Gramedia.com,Menambah pengetahuan,Aktivitas Rekreasional,edukasi,Tidak Setuju,Sangat Setuju,Setuju,Tidak Setuju,0
127,Komik,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Daily needs,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,2
128,Alat Seni,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Seni,Self Wear,Sangat Tidak Setuju,Netral,Netral,Setuju,1
129,Komik,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Daily needs,Netral,Tidak Setuju,Tidak Setuju,Netral,0
130,Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Lifestyle,Alat Seni,Setuju,Setuju,Netral,Tidak Setuju,1
131,Alat Kantor/Sekolah,Website Gramedia.com,Kado atau hadiah,Seni,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,3
132,Sport & mainanan,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,edukasi,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,4
133,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Literasi,Alat Seni,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,3
134,Buku Anak,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Daily needs,Sangat Setuju,Netral,Netral,Setuju,1
135,Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Seni,Daily needs,Netral,Setuju,Netral,Sangat Setuju,1
136,Alat Kantor/Sekolah,Toko Gramedia,Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju,0
137,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Seni,Self Wear,Sangat Setuju,Netral,Setuju,Netral,3
138,Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Seni,Self Wear,Netral,Sangat Tidak Setuju,Netral,Setuju,1
139,Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Aktivitas Rekreasional,edukasi,Tidak Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,0
140,Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Alat Seni,Netral,Sangat Setuju,Sangat Setuju,Netral,1
141,Buku Anak,Website Gramedia.com,Untuk mengekspresikan kreativitas,Literasi,Alat Seni,Sangat Setuju,Netral,Setuju,Netral,2
142,Alat Seni,Website Gramedia.com,Untuk mengekspresikan kreativitas,Seni,Alat Seni,Setuju,Netral,Netral,Sangat Setuju,2
143,Sport & mainanan,Aplikasi Gramedia.com,Kado atau hadiah,Lifestyle,Daily needs,Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju,0
