Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,cluster
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Perlengkapan Seni/Kreatif",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas,Belanja online/offline;Membaca buku atau majalah,Alat Musik & kesenian,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju,3
Buku Anak;Perlengkapan Kantor atau Sekolah,Website Gramedia.com,Hiburan atau relaksasi,Membaca buku atau majalah;Menghadiri acara budaya atau edukasi,"Alat Olahraga;Alat Tulis kantor atau sekolah;Buku fiksi (novel, komik, buku anak)",Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,4
Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi;Menulis (diari, blog, atau lainnya);Olahraga","Buku fiksi (novel, komik, buku anak);Mainan",Setuju,Setuju,Tidak Setuju,Setuju,2
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Jurnal/Perencana (Planner)",Aplikasi Gramedia.com,Menambah pengetahuan,"Bermain game (offline/online);Menulis (diari, blog, atau lainnya)","Alat Olahraga;Buku fiksi (novel, komik, buku anak);Kesehatan dan Kecantikan",Sangat Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju,2
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga,"Alat Tulis kantor atau sekolah;Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Sangat Setuju,Netral,Tidak Setuju,2
Mainan/Collectible item;Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi;Kado atau hadiah;Menambah pengetahuan,Melukis atau menggambar,Alat Musik & kesenian,Sangat Setuju,Netral,Setuju,Setuju,1
Komik/Novel Grafis;Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Belanja online/offline;Bermain game (offline/online);Bermain musik,Alat Musik & kesenian;Alat Olahraga;Alat Tulis kantor atau sekolah,Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju,4
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Komik/Novel Grafis;Novel Fiksi",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas,Bermain game (offline/online);Olahraga;Travelling,"Alat Olahraga;Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral,4
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Komik/Novel Grafis",Toko alat tulis lainnya,Menambah pengetahuan,Melukis atau menggambar;Travelling,"Alat Musik & kesenian;Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Tidak Setuju,Setuju,Netral,0
Alat Musik,Toko buku independen lainnya,"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline;Membaca buku atau majalah,Alat Musik & kesenian;Kesehatan dan Kecantikan,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,2
Alat Tulis Umum (Kantor/Sekolah);Mainan/Collectible item,Toko Gramedia,Menambah pengetahuan,"Melukis atau menggambar;Menghadiri acara budaya atau edukasi;Menulis (diari, blog, atau lainnya)",Kesehatan dan Kecantikan;Mainan,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju,3
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Perlengkapan Seni/Kreatif",Website Gramedia.com,"Hiburan atau relaksasi;Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya);Olahraga","Alat Olahraga;Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Kesehatan dan Kecantikan",Setuju,Sangat Tidak Setuju,Netral,Setuju,3
Komik/Novel Grafis;Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online);Membaca buku atau majalah,"Alat Musik & kesenian;Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan",Netral,Tidak Setuju,Tidak Setuju,Setuju,5
Alat Olahraga;Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan",Melukis atau menggambar;Membaca buku atau majalah,Alat Tulis kantor atau sekolah,Tidak Setuju,Tidak Setuju,Netral,Tidak Setuju,0
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri","Menghadiri acara budaya atau edukasi;Menulis (diari, blog, atau lainnya)",Alat Musik & kesenian;Alat Olahraga;Alat Tulis kantor atau sekolah,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Setuju,5
"Alat Olahraga;Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Komik/Novel Grafis",Toko alat tulis lainnya,Kado atau hadiah;Menambah pengetahuan,Membaca buku atau majalah,Alat Musik & kesenian;Alat Tulis kantor atau sekolah,Netral,Netral,Setuju,Sangat Setuju,1
Alat Musik;Buku Anak,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Bermain musik,Kesehatan dan Kecantikan,Tidak Setuju,Setuju,Netral,Sangat Setuju,3
Alat Olahraga;Jurnal/Perencana (Planner);Komik/Novel Grafis,Toko Gramedia,Kado atau hadiah,"Melukis atau menggambar;Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Tidak Setuju,Netral,Sangat Setuju,0
Komik/Novel Grafis;Novel Fiksi;Perlengkapan Seni/Kreatif,Website Gramedia.com,Hiburan atau relaksasi;Kado atau hadiah,Bermain game (offline/online),Kesehatan dan Kecantikan,Tidak Setuju,Sangat Tidak Setuju,Netral,Setuju,3
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,Hiburan atau relaksasi,"Menghadiri acara budaya atau edukasi;Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian;Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Sangat Setuju,Setuju,Setuju,2
"Buku Anak;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,Kado atau hadiah;Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline;Bermain musik,"Alat Musik & kesenian;Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Setuju,Tidak Setuju,Tidak Setuju,1
Perlengkapan Kantor atau Sekolah,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain game (offline/online);Menulis (diari, blog, atau lainnya);Travelling",Alat Olahraga;Mainan,Setuju,Netral,Setuju,Tidak Setuju,4
Alat Tulis Umum (Kantor/Sekolah);Komik/Novel Grafis;Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Menghadiri acara budaya atau edukasi;Menulis (diari, blog, atau lainnya);Olahraga",Kesehatan dan Kecantikan,Tidak Setuju,Netral,Sangat Setuju,Sangat Setuju,2
Alat Tulis Umum (Kantor/Sekolah);Mainan/Collectible item,Aplikasi Gramedia.com,Hiburan atau relaksasi;Kado atau hadiah;Untuk mengekspresikan kreativitas,Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,1
Buku Anak,Website Gramedia.com,"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain game (offline/online);Travelling,"Alat Olahraga;Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Setuju,Tidak Setuju,Netral,4
Komik/Novel Grafis,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas","Bermain musik;Menulis (diari, blog, atau lainnya);Olahraga",Alat Olahraga;Mainan,Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju,4
Alat Olahraga;Buku Anak;Jurnal/Perencana (Planner),Toko alat tulis lainnya,"Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline;Menghadiri acara budaya atau edukasi;Travelling,"Alat Olahraga;Alat Tulis kantor atau sekolah;Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Sangat Tidak Setuju,Netral,Netral,0
Alat Musik;Alat Olahraga;Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,Hiburan atau relaksasi;Kado atau hadiah,"Menulis (diari, blog, atau lainnya)","Alat Tulis kantor atau sekolah;Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Mainan",Sangat Setuju,Setuju,Netral,Sangat Setuju,1
Komik/Novel Grafis;Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Menulis (diari, blog, atau lainnya);Olahraga;Travelling","Buku fiksi (novel, komik, buku anak);Kesehatan dan Kecantikan;Mainan",Sangat Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju,5
Jurnal/Perencana (Planner),Toko Gramedia,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya);Olahraga;Travelling","Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Sangat Setuju,Setuju,Netral,4
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Novel Fiksi",Aplikasi Gramedia.com,Hiburan atau relaksasi;Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain musik,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Sangat Tidak Setuju,Setuju,Sangat Setuju,3
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar;Olahraga,Alat Musik & kesenian;Alat Tulis kantor atau sekolah,Setuju,Setuju,Sangat Setuju,Setuju,2
"Alat Musik;Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Mainan/Collectible item",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan",Bermain musik,"Alat Olahraga;Buku fiksi (novel, komik, buku anak);Kesehatan dan Kecantikan",Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,3
"Alat Musik;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Mainan/Collectible item",Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak)",Netral,Setuju,Sangat Setuju,Setuju,5
Alat Tulis Umum (Kantor/Sekolah);Buku Anak;Jurnal/Perencana (Planner),Toko alat tulis lainnya,Hiburan atau relaksasi,Melukis atau menggambar,Alat Musik & kesenian;Mainan,Tidak Setuju,Tidak Setuju,Netral,Setuju,0
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Mainan/Collectible item;Novel Fiksi",Aplikasi Gramedia Digital (ebook),Kado atau hadiah;Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,"Belanja online/offline;Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian;Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Tidak Setuju,Netral,Tidak Setuju,0
Buku Anak;Jurnal/Perencana (Planner);Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Belanja online/offline,Alat Musik & kesenian,Setuju,Sangat Setuju,Tidak Setuju,Netral,4
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar,"Alat Musik & kesenian;Alat Olahraga;Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,0
"Alat Tulis Umum (Kantor/Sekolah);Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline;Travelling,Kesehatan dan Kecantikan,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,2
Alat Olahraga,Toko Gramedia,"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain musik;Menghadiri acara budaya atau edukasi;Menulis (diari, blog, atau lainnya)","Alat Tulis kantor atau sekolah;Buku fiksi (novel, komik, buku anak);Kesehatan dan Kecantikan",Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,2
"Buku Anak;Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline;Menghadiri acara budaya atau edukasi;Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan;Mainan",Tidak Setuju,Sangat Setuju,Netral,Tidak Setuju,1
"Buku Anak;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,"Belanja online/offline;Membaca buku atau majalah;Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak);Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Tidak Setuju,Tidak Setuju,Netral,4
Jurnal/Perencana (Planner);Komik/Novel Grafis;Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas",Melukis atau menggambar;Olahraga;Travelling,"Alat Olahraga;Buku fiksi (novel, komik, buku anak)",Netral,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,4
Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan;Untuk mengekspresikan kreativitas,Travelling,Alat Olahraga;Kesehatan dan Kecantikan;Mainan,Sangat Setuju,Tidak Setuju,Netral,Netral,0
Jurnal/Perencana (Planner),Toko alat tulis lainnya,"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Untuk mengekspresikan kreativitas",Melukis atau menggambar,"Alat Olahraga;Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku fiksi (novel, komik, buku anak)",Setuju,Netral,Tidak Setuju,Netral,2
Novel Fiksi;Perlengkapan Kantor atau Sekolah;Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online),Mainan,Setuju,Sangat Setuju,Tidak Setuju,Netral,4
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Novel Fiksi",Toko alat tulis lainnya,"Hiburan atau relaksasi;Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online);Travelling,Alat Olahraga;Alat Tulis kantor atau sekolah,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral,5
Buku Anak;Komik/Novel Grafis,Aplikasi Gramedia.com,Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas,Bermain musik;Membaca buku atau majalah;Olahraga,"Alat Olahraga;Buku non-fiksi (pengembangan diri, sejarah, agama);Mainan",Sangat Tidak Setuju,Tidak Setuju,Netral,Netral,3
Komik/Novel Grafis,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline;Bermain musik;Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan",Netral,Setuju,Sangat Tidak Setuju,Netral,4
"Alat Olahraga;Alat Tulis Umum (Kantor/Sekolah);Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Hiburan atau relaksasi;Kado atau hadiah,Belanja online/offline;Olahraga,Alat Olahraga,Tidak Setuju,Sangat Setuju,Setuju,Netral,4
Jurnal/Perencana (Planner),Website Gramedia.com,"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri",Membaca buku atau majalah,Kesehatan dan Kecantikan;Mainan,Netral,Sangat Setuju,Sangat Setuju,Setuju,4
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Melukis atau menggambar;Olahraga,"Alat Musik & kesenian;Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku fiksi (novel, komik, buku anak)",Netral,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,0
"Alat Tulis Umum (Kantor/Sekolah);Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah;Olahraga;Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku fiksi (novel, komik, buku anak);Kesehatan dan Kecantikan",Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,4
Jurnal/Perencana (Planner);Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,Hiburan atau relaksasi;Sebagai bentuk 'self-reward' atau apresiasi diri,"Bermain game (offline/online);Melukis atau menggambar;Menulis (diari, blog, atau lainnya)",Alat Musik & kesenian;Mainan,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,0
Jurnal/Perencana (Planner);Komik/Novel Grafis,Toko buku independen lainnya,Kado atau hadiah;Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas,Bermain game (offline/online),Alat Musik & kesenian,Netral,Sangat Setuju,Netral,Sangat Setuju,4
Alat Olahraga;Buku Anak;Komik/Novel Grafis,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Sangat Setuju,Tidak Setuju,Tidak Setuju,4
Alat Olahraga;Mainan/Collectible item,Toko alat tulis lainnya,"Hiburan atau relaksasi;Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)",Alat Musik & kesenian,Netral,Tidak Setuju,Netral,Setuju,5
Alat Tulis Umum (Kantor/Sekolah);Jurnal/Perencana (Planner),"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah;Untuk mengekspresikan kreativitas,"Belanja online/offline;Bermain musik;Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak);Kesehatan dan Kecantikan;Mainan",Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,1
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline;Bermain game (offline/online),Alat Tulis kantor atau sekolah,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral,4
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,Hiburan atau relaksasi;Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online),"Alat Musik & kesenian;Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Tidak Setuju,Netral,Tidak Setuju,0
Novel Fiksi;Perlengkapan Kantor atau Sekolah,Toko Gramedia,Hiburan atau relaksasi;Menambah pengetahuan;Untuk mengekspresikan kreativitas,Bermain musik,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Tidak Setuju,Tidak Setuju,Setuju,5
Alat Olahraga;Komik/Novel Grafis;Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga,"Alat Tulis kantor atau sekolah;Buku fiksi (novel, komik, buku anak)",Netral,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,5
