Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat
Alat Kantor/Sekolah,Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan",Aktivitas Rekreasional,edukasi
"Buku Anak, Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Untuk mengekspresikan kreativitas,"Olahraga, Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian, Alat Tulis kantor atau sekolah, Kesehatan dan Kecantikan"
"Alat Musik, Perlengkapan Seni/Kreatif, Buku Anak",Toko Gramedia,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,"Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan, Alat Olahraga"
Komik,Toko Gramedia,Menambah pengetahuan,"Olahraga, Travelling","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Alat Seni
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif",Website Gramedia.com,Hiburan atau relaksasi,"Membaca buku atau majalah , Bermain game (offline/online)","Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Mainan"
"Perlengkapan Kantor atau Sekolah, Buku Anak",Website Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional,"Alat Olahraga, Alat Musik & kesenian, Mainan"
Sport & mainanan,Website Gramedia.com,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Melukis atau menggambar , Bermain musik",Self Wear
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,Self Wear
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan",Literasi,Self Wear
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Kado atau hadiah",Literasi,"Mainan, Buku fiksi (novel, komik, buku anak)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi, Komik/Novel Grafis",Aplikasi Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas",Seni,edukasi
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Membaca buku atau majalah , Olahraga","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
Alat Seni,Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Bermain game (offline/online), Bermain musik",Self Wear
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Membaca buku atau majalah , Olahraga",edukasi
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,"Alat Tulis kantor atau sekolah, Alat Olahraga"
"Komik/Novel Grafis, Mainan/Collectible item",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,edukasi
"Alat Olahraga, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Travelling, Bermain game (offline/online), Belanja online/offline","Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama), Buku fiksi (novel, komik, buku anak)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Membaca buku atau majalah","Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian"
"Alat Olahraga, Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Membaca buku atau majalah",Self Wear
"Alat Musik, Buku Anak",Website Gramedia.com,Untuk mengekspresikan kreativitas,"Melukis atau menggambar , Membaca buku atau majalah",Daily needs
"Alat Olahraga, Jurnal/Perencana (Planner), Komik/Novel Grafis",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Bermain musik, Bermain game (offline/online)","Mainan, Alat Musik & kesenian"
"Perlengkapan Seni/Kreatif, Novel Fiksi, Komik/Novel Grafis",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,edukasi
Alat Seni,Aplikasi Gramedia.com,Hiburan atau relaksasi,"Membaca buku atau majalah , Menulis (diari, blog, atau lainnya), Bermain musik",Alat Seni
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Menambah pengetahuan","Bermain game (offline/online), Olahraga, Menghadiri acara budaya atau edukasi","Alat Musik & kesenian, Kesehatan dan Kecantikan, Mainan"
Alat Kantor/Sekolah,Toko alat tulis lainnya,"Menambah pengetahuan, Untuk mengekspresikan kreativitas",Literasi,"Alat Tulis kantor atau sekolah, Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Bermain musik",Self Wear
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Hiburan atau relaksasi","Travelling, Menulis (diari, blog, atau lainnya)","Alat Tulis kantor atau sekolah, Buku fiksi (novel, komik, buku anak)"
Buku Anak,Toko buku independen lainnya,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Belanja online/offline, Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak), Alat Musik & kesenian"
Komik,Toko alat tulis lainnya,Hiburan atau relaksasi,Seni,"Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Jurnal/Perencana (Planner), Alat Olahraga, Buku Anak",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas","Belanja online/offline, Membaca buku atau majalah , Travelling","Buku non-fiksi (pengembangan diri, sejarah, agama), Kesehatan dan Kecantikan, Mainan"
"Perlengkapan Kantor atau Sekolah, Alat Musik, Alat Olahraga",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Kesehatan dan Kecantikan, Mainan"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Belanja online/offline","Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak)"
Alat Kantor/Sekolah,Toko Gramedia,"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Melukis atau menggambar , Membaca buku atau majalah","Alat Musik & kesenian, Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Kado atau hadiah, Hiburan atau relaksasi","Olahraga, Travelling","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Tulis kantor atau sekolah"
Edukasi,Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Bermain game (offline/online), Bermain musik, Travelling",Daily needs
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item, Alat Musik",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah , Bermain game (offline/online)","Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Membaca buku atau majalah , Bermain game (offline/online)","Mainan, Alat Olahraga"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,edukasi
"Novel Fiksi, Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Menghadiri acara budaya atau edukasi, Melukis atau menggambar",Self Wear
"Jurnal/Perencana (Planner), Buku Anak, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,"Mainan, Alat Tulis kantor atau sekolah"
Buku Anak,Toko Gramedia,"Hiburan atau relaksasi, Menambah pengetahuan","Bermain musik, Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)","Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,Hiburan atau relaksasi,"Melukis atau menggambar , Menghadiri acara budaya atau edukasi, Travelling",Self Wear
Sport & mainanan,Website Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Olahraga, Belanja online/offline, Bermain game (offline/online)",edukasi
"Buku Anak, Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,"Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Buku Anak",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Bermain musik, Menghadiri acara budaya atau edukasi","Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Toko alat tulis lainnya,Kado atau hadiah,Aktivitas Rekreasional,Self Wear
Alat Seni,Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Travelling, Melukis atau menggambar , Bermain musik","Alat Musik & kesenian, Mainan"
Alat Kantor/Sekolah,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,"Alat Olahraga, Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Novel Fiksi, Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan","Menulis (diari, blog, atau lainnya), Travelling","Mainan, Alat Tulis kantor atau sekolah, Alat Olahraga"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional,"Mainan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Anak, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Kado atau hadiah",Literasi,"Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku non-fiksi (pengembangan diri, sejarah, agama)"
Komik,Toko alat tulis lainnya,Hiburan atau relaksasi,"Menghadiri acara budaya atau edukasi, Travelling","Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Hiburan atau relaksasi, Menambah pengetahuan","Belanja online/offline, Bermain game (offline/online)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,"Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah"
Edukasi,Toko Gramedia,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian, Mainan"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi",Literasi,"Kesehatan dan Kecantikan, Alat Tulis kantor atau sekolah, Alat Musik & kesenian"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online), Bermain musik, Travelling","Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah, Alat Olahraga"
"Komik/Novel Grafis, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Kado atau hadiah, Untuk mengekspresikan kreativitas",Seni,"Buku non-fiksi (pengembangan diri, sejarah, agama), Mainan, Buku fiksi (novel, komik, buku anak)"
"Alat Olahraga, Komik/Novel Grafis, Buku Anak",Toko buku independen lainnya,"Hiburan atau relaksasi, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah , Olahraga, Travelling","Kesehatan dan Kecantikan, Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
"Mainan/Collectible item, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,"Belanja online/offline, Melukis atau menggambar , Bermain game (offline/online)","Alat Tulis kantor atau sekolah, Kesehatan dan Kecantikan"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,"Belanja online/offline, Olahraga, Menulis (diari, blog, atau lainnya)","Alat Olahraga, Alat Musik & kesenian, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,Menambah pengetahuan,"Belanja online/offline, Travelling","Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan, Alat Musik & kesenian"
Buku Non-Fiksi,Toko Gramedia,Hiburan atau relaksasi,Seni,"Alat Musik & kesenian, Kesehatan dan Kecantikan"
"Novel Fiksi, Perlengkapan Kantor atau Sekolah",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Alat Seni
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah, Alat Olahraga",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,"Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Buku Non-Fiksi,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Menambah pengetahuan, Kado atau hadiah",Aktivitas Rekreasional,"Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama), Buku fiksi (novel, komik, buku anak)"
"Mainan/Collectible item, Novel Fiksi, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas","Bermain musik, Travelling","Mainan, Alat Tulis kantor atau sekolah, Alat Olahraga"
Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Literasi,Alat Seni
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Menambah pengetahuan",Lifestyle,"Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
Buku Anak,Toko Gramedia,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline, Olahraga, Menghadiri acara budaya atau edukasi","Kesehatan dan Kecantikan, Alat Olahraga"
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis, Jurnal/Perencana (Planner)",Website Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi","Bermain musik, Menghadiri acara budaya atau edukasi","Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak), Buku non-fiksi (pengembangan diri, sejarah, agama)"
Sport & mainanan,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Membaca buku atau majalah , Menghadiri acara budaya atau edukasi","Alat Tulis kantor atau sekolah, Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis",Aplikasi Gramedia.com,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Menghadiri acara budaya atau edukasi, Bermain game (offline/online)","Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama), Mainan"
"Alat Musik, Komik/Novel Grafis",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Travelling, Membaca buku atau majalah , Bermain game (offline/online)",edukasi
Buku Non-Fiksi,Website Gramedia.com,Hiburan atau relaksasi,Lifestyle,edukasi
"Alat Musik, Perlengkapan Seni/Kreatif, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah , Bermain musik","Buku non-fiksi (pengembangan diri, sejarah, agama), Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi",Website Gramedia.com,Menambah pengetahuan,"Travelling, Menghadiri acara budaya atau edukasi, Olahraga","Alat Musik & kesenian, Mainan, Alat Olahraga"
"Mainan/Collectible item, Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi",Lifestyle,"Alat Musik & kesenian, Alat Tulis kantor atau sekolah"
Alat Seni,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Travelling, Membaca buku atau majalah","Buku fiksi (novel, komik, buku anak), Alat Olahraga, Alat Tulis kantor atau sekolah"
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,"Mainan, Alat Olahraga, Kesehatan dan Kecantikan"
Komik,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Menghadiri acara budaya atau edukasi, Bermain game (offline/online)","Buku fiksi (novel, komik, buku anak), Alat Musik & kesenian"
"Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Belanja online/offline, Melukis atau menggambar","Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Buku Anak,Toko Gramedia,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kado atau hadiah","Bermain game (offline/online), Membaca buku atau majalah","Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Melukis atau menggambar , Bermain musik",Self Wear
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Belanja online/offline, Menulis (diari, blog, atau lainnya), Olahraga","Alat Olahraga, Mainan"
Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Menulis (diari, blog, atau lainnya), Melukis atau menggambar , Menghadiri acara budaya atau edukasi",Alat Seni
