Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,cluster
{'Alat Kantor/Sekolah'},{'Website Gramedia.com'},"{'Menambah pengetahuan', 'Kado atau hadiah'}","{'Aktivitas Rekreasional', 'Seni'}",{'Self Wear'},{'Tidak Setuju'},{'Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},1
"{'Novel Fiksi', 'Edukasi', 'Buku Anak'}",{'Website Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Aktivitas Rekreasional', 'Literasi'}",{'Self Wear'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Setuju'},1
"{'Alat Seni', 'Buku Anak'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Hiburan atau relaksasi', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)'}","{'Aktivitas Rekreasional', 'Literasi'}","{'edukasi', 'Alat Seni'}",{'Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},2
{'Komik'},{'Aplikasi Gramedia.com'},"{'Hiburan atau relaksasi', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}",{'Literasi'},{'Self Wear'},{'Tidak Setuju'},{'Netral'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},2
"{'Buku Non-Fiksi', 'Sport & mainanan'}",{'Website Gramedia.com'},"{'Hiburan atau relaksasi', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Seni', 'Lifestyle'}","{'Self Wear', 'Alat Seni', 'Daily needs'}",{'Sangat Setuju'},{'Sangat Setuju'},{'Netral'},{'Sangat Tidak Setuju'},1
"{'Buku Non-Fiksi', 'Alat Seni'}",{'Toko Gramedia'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Untuk mengekspresikan kreativitas'}","{'Literasi', 'Lifestyle'}",{'Alat Seni'},{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},{'Tidak Setuju'},0
"{'Buku Anak', 'Alat Kantor/Sekolah'}",{'Website Gramedia.com'},{'Hiburan atau relaksasi'},"{'Aktivitas Rekreasional', 'Literasi'}","{'Self Wear', 'edukasi', 'Daily needs'}",{'Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},3
{'Sport & mainanan'},"{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Kado atau hadiah'}","{'Aktivitas Rekreasional', 'Literasi'}","{'Self Wear', 'edukasi'}",{'Setuju'},{'Setuju'},{'Tidak Setuju'},{'Setuju'},0
"{'Buku Non-Fiksi', 'Alat Kantor/Sekolah'}",{'Aplikasi Gramedia.com'},{'Menambah pengetahuan'},"{'Aktivitas Rekreasional', 'Literasi'}","{'Self Wear', 'edukasi'}",{'Sangat Setuju'},{'Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},0
"{'Buku Non-Fiksi', 'Alat Kantor/Sekolah'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}",{'Aktivitas Rekreasional'},"{'edukasi', 'Daily needs'}",{'Setuju'},{'Sangat Setuju'},{'Netral'},{'Tidak Setuju'},1
"{'Sport & mainanan', 'Alat Kantor/Sekolah'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Hiburan atau relaksasi', 'Menambah pengetahuan', 'Kado atau hadiah'}",{'Seni'},{'Alat Seni'},{'Sangat Setuju'},{'Netral'},{'Setuju'},{'Setuju'},4
"{'Komik', 'Alat Kantor/Sekolah'}",{'Aplikasi Gramedia Digital (ebook)'},{'Untuk mengekspresikan kreativitas'},"{'Aktivitas Rekreasional', 'Seni', 'Lifestyle'}","{'Self Wear', 'Alat Seni', 'Daily needs'}",{'Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},{'Sangat Setuju'},2
"{'Buku Non-Fiksi', 'Novel Fiksi', 'Komik'}",{'Toko alat tulis lainnya'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Untuk mengekspresikan kreativitas'}","{'Aktivitas Rekreasional', 'Lifestyle'}","{'Self Wear', 'edukasi'}",{'Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Netral'},1
"{'Buku Non-Fiksi', 'Komik'}",{'Toko alat tulis lainnya'},{'Menambah pengetahuan'},"{'Seni', 'Lifestyle'}","{'edukasi', 'Alat Seni'}",{'Sangat Setuju'},{'Tidak Setuju'},{'Setuju'},{'Netral'},2
{'Alat Seni'},{'Toko buku independen lainnya'},"{'Hiburan atau relaksasi', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)'}","{'Literasi', 'Lifestyle'}","{'Self Wear', 'Alat Seni'}",{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},3
"{'Sport & mainanan', 'Alat Kantor/Sekolah'}",{'Toko Gramedia'},{'Menambah pengetahuan'},"{'Aktivitas Rekreasional', 'Literasi', 'Seni'}",{'Self Wear'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Setuju'},1
"{'Edukasi', 'Alat Seni'}",{'Website Gramedia.com'},"{'Hiburan atau relaksasi', 'Menambah pengetahuan', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Aktivitas Rekreasional', 'Literasi'}","{'Self Wear', 'edukasi'}",{'Setuju'},{'Sangat Tidak Setuju'},{'Netral'},{'Setuju'},1
"{'Komik', 'Sport & mainanan'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Aktivitas Rekreasional', 'Literasi'}","{'Self Wear', 'Alat Seni', 'edukasi'}",{'Netral'},{'Tidak Setuju'},{'Tidak Setuju'},{'Setuju'},3
{'Sport & mainanan'},{'Aplikasi Gramedia Digital (ebook)'},"{'Menambah pengetahuan', 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)'}","{'Literasi', 'Seni'}",{'Daily needs'},{'Tidak Setuju'},{'Tidak Setuju'},{'Netral'},{'Tidak Setuju'},1
"{'Buku Non-Fiksi', 'Edukasi', 'Alat Kantor/Sekolah'}",{'Toko buku independen lainnya'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)'}","{'Aktivitas Rekreasional', 'Literasi'}","{'Self Wear', 'Alat Seni', 'Daily needs'}",{'Sangat Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Setuju'},0
"{'Komik', 'Edukasi', 'Sport & mainanan'}",{'Toko alat tulis lainnya'},"{'Menambah pengetahuan', 'Kado atau hadiah'}",{'Literasi'},"{'Alat Seni', 'Daily needs'}",{'Netral'},{'Netral'},{'Setuju'},{'Sangat Setuju'},3
"{'Alat Seni', 'Buku Anak'}",{'Aplikasi Gramedia Digital (ebook)'},{'Untuk mengekspresikan kreativitas'},{'Seni'},{'Self Wear'},{'Tidak Setuju'},{'Setuju'},{'Netral'},{'Sangat Setuju'},1
"{'Komik', 'Sport & mainanan', 'Alat Kantor/Sekolah'}",{'Toko Gramedia'},{'Kado atau hadiah'},"{'Literasi', 'Seni'}",{'edukasi'},{'Sangat Setuju'},{'Tidak Setuju'},{'Netral'},{'Sangat Setuju'},2
"{'Komik', 'Alat Seni', 'Novel Fiksi'}",{'Website Gramedia.com'},"{'Hiburan atau relaksasi', 'Kado atau hadiah'}",{'Aktivitas Rekreasional'},{'Self Wear'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},{'Setuju'},1
{'Alat Seni'},{'Toko alat tulis lainnya'},{'Hiburan atau relaksasi'},"{'Aktivitas Rekreasional', 'Literasi'}","{'edukasi', 'Alat Seni'}",{'Tidak Setuju'},{'Sangat Setuju'},{'Setuju'},{'Setuju'},1
"{'Buku Non-Fiksi', 'Buku Anak'}",{'Aplikasi Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kado atau hadiah'}","{'Seni', 'Lifestyle'}","{'edukasi', 'Alat Seni'}",{'Sangat Setuju'},{'Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},0
{'Alat Kantor/Sekolah'},{'Website Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', ""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)'}","{'Aktivitas Rekreasional', 'Literasi', 'Lifestyle'}",{'Self Wear'},{'Setuju'},{'Netral'},{'Setuju'},{'Tidak Setuju'},4
"{'Komik', 'Alat Seni', 'Alat Kantor/Sekolah'}",{'Aplikasi Gramedia Digital (ebook)'},{'Hiburan atau relaksasi'},"{'Aktivitas Rekreasional', 'Literasi'}",{'Self Wear'},{'Tidak Setuju'},{'Netral'},{'Sangat Setuju'},{'Sangat Setuju'},4
"{'Sport & mainanan', 'Alat Kantor/Sekolah'}",{'Aplikasi Gramedia.com'},"{'Hiburan atau relaksasi', 'Untuk mengekspresikan kreativitas', 'Kado atau hadiah'}",{'Lifestyle'},{'edukasi'},{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},{'Setuju'},0
{'Buku Anak'},{'Website Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Kado atau hadiah'}","{'Aktivitas Rekreasional', 'Lifestyle'}","{'Self Wear', 'edukasi'}",{'Sangat Tidak Setuju'},{'Setuju'},{'Tidak Setuju'},{'Netral'},4
{'Komik'},{'Toko alat tulis lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Untuk mengekspresikan kreativitas'}","{'Aktivitas Rekreasional', 'Literasi', 'Seni'}",{'Self Wear'},{'Setuju'},{'Sangat Setuju'},{'Netral'},{'Sangat Tidak Setuju'},1
"{'Sport & mainanan', 'Buku Anak', 'Alat Kantor/Sekolah'}",{'Toko alat tulis lainnya'},"{'Menambah pengetahuan', ""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Aktivitas Rekreasional', 'Lifestyle'}","{'Self Wear', 'edukasi', 'Daily needs'}",{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},{'Netral'},1
"{'Sport & mainanan', 'Alat Seni', 'Alat Kantor/Sekolah'}",{'Toko buku independen lainnya'},"{'Hiburan atau relaksasi', 'Kado atau hadiah'}",{'Literasi'},"{'Self Wear', 'edukasi', 'Daily needs'}",{'Sangat Setuju'},{'Setuju'},{'Netral'},{'Sangat Setuju'},3
"{'Komik', 'Alat Seni'}",{'Aplikasi Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Aktivitas Rekreasional', 'Literasi', 'Lifestyle'}","{'Self Wear', 'edukasi'}",{'Sangat Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},{'Sangat Setuju'},3
{'Alat Kantor/Sekolah'},{'Toko Gramedia'},{'Hiburan atau relaksasi'},"{'Aktivitas Rekreasional', 'Literasi', 'Lifestyle'}",{'edukasi'},{'Sangat Setuju'},{'Sangat Setuju'},{'Setuju'},{'Netral'},4
"{'Buku Non-Fiksi', 'Novel Fiksi'}",{'Aplikasi Gramedia.com'},"{'Hiburan atau relaksasi', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}",{'Seni'},{'edukasi'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Setuju'},{'Sangat Setuju'},2
{'Edukasi'},{'Aplikasi Gramedia.com'},"{'Hiburan atau relaksasi', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)'}","{'Aktivitas Rekreasional', 'Seni'}","{'Alat Seni', 'Daily needs'}",{'Setuju'},{'Setuju'},{'Sangat Setuju'},{'Setuju'},2
"{'Sport & mainanan', 'Edukasi', 'Alat Seni'}",{'Website Gramedia.com'},"{'Menambah pengetahuan', 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)'}",{'Seni'},"{'Self Wear', 'edukasi'}",{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},0
"{'Buku Non-Fiksi', 'Alat Seni', 'Sport & mainanan'}",{'Toko buku independen lainnya'},{'Untuk mengekspresikan kreativitas'},{'Aktivitas Rekreasional'},{'edukasi'},{'Netral'},{'Setuju'},{'Sangat Setuju'},{'Setuju'},3
"{'Buku Anak', 'Alat Kantor/Sekolah'}",{'Toko alat tulis lainnya'},{'Hiburan atau relaksasi'},{'Seni'},"{'Self Wear', 'Alat Seni'}",{'Tidak Setuju'},{'Tidak Setuju'},{'Netral'},{'Setuju'},1
"{'Buku Non-Fiksi', 'Sport & mainanan', 'Novel Fiksi'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Menambah pengetahuan', ""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kado atau hadiah'}","{'Literasi', 'Lifestyle'}","{'edukasi', 'Alat Seni'}",{'Setuju'},{'Tidak Setuju'},{'Netral'},{'Tidak Setuju'},2
"{'Alat Seni', 'Alat Kantor/Sekolah', 'Buku Anak'}",{'Aplikasi Gramedia.com'},{'Untuk mengekspresikan kreativitas'},{'Lifestyle'},{'Alat Seni'},{'Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},{'Netral'},2
{'Buku Anak'},"{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Menambah pengetahuan', 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}",{'Seni'},"{'Self Wear', 'Alat Seni', 'edukasi'}",{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},0
"{'Edukasi', 'Alat Kantor/Sekolah'}",{'Toko alat tulis lainnya'},"{'Menambah pengetahuan', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}",{'Lifestyle'},{'Self Wear'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},1
{'Sport & mainanan'},{'Toko Gramedia'},"{'Hiburan atau relaksasi', ""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)'}","{'Aktivitas Rekreasional', 'Literasi', 'Seni'}","{'Self Wear', 'edukasi', 'Daily needs'}",{'Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},2
"{'Edukasi', 'Buku Anak', 'Alat Kantor/Sekolah'}",{'Toko buku independen lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Kado atau hadiah'}","{'Aktivitas Rekreasional', 'Lifestyle'}","{'Self Wear', 'edukasi'}",{'Tidak Setuju'},{'Sangat Setuju'},{'Netral'},{'Tidak Setuju'},1
"{'Buku Non-Fiksi', 'Buku Anak', 'Sport & mainanan'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Literasi', 'Lifestyle'}",{'edukasi'},{'Netral'},{'Tidak Setuju'},{'Tidak Setuju'},{'Netral'},3
"{'Komik', 'Alat Kantor/Sekolah'}",{'Toko alat tulis lainnya'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Untuk mengekspresikan kreativitas'}","{'Aktivitas Rekreasional', 'Seni', 'Lifestyle'}","{'Self Wear', 'edukasi'}",{'Netral'},{'Tidak Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},2
{'Alat Seni'},{'Aplikasi Gramedia Digital (ebook)'},"{'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}",{'Lifestyle'},{'Self Wear'},{'Sangat Setuju'},{'Tidak Setuju'},{'Netral'},{'Netral'},4
{'Alat Kantor/Sekolah'},{'Toko alat tulis lainnya'},"{'Hiburan atau relaksasi', 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Untuk mengekspresikan kreativitas'}",{'Seni'},"{'Self Wear', 'edukasi'}",{'Setuju'},{'Netral'},{'Tidak Setuju'},{'Netral'},4
"{'Novel Fiksi', 'Alat Seni', 'Alat Kantor/Sekolah'}",{'Aplikasi Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}",{'Aktivitas Rekreasional'},{'Self Wear'},{'Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},{'Netral'},2
"{'Buku Non-Fiksi', 'Novel Fiksi'}",{'Toko alat tulis lainnya'},"{'Hiburan atau relaksasi', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Kado atau hadiah'}","{'Aktivitas Rekreasional', 'Lifestyle'}","{'Self Wear', 'Daily needs'}",{'Sangat Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},4
"{'Komik', 'Buku Anak'}",{'Aplikasi Gramedia.com'},"{'Menambah pengetahuan', ""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Untuk mengekspresikan kreativitas'}","{'Aktivitas Rekreasional', 'Literasi', 'Seni'}","{'Self Wear', 'edukasi'}",{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Netral'},{'Netral'},2
{'Komik'},{'Toko buku independen lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', ""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)'}","{'Literasi', 'Seni', 'Lifestyle'}","{'Self Wear', 'edukasi'}",{'Netral'},{'Setuju'},{'Sangat Tidak Setuju'},{'Netral'},3
"{'Buku Non-Fiksi', 'Sport & mainanan', 'Alat Kantor/Sekolah'}",{'Toko Gramedia'},"{'Hiburan atau relaksasi', 'Kado atau hadiah'}","{'Aktivitas Rekreasional', 'Lifestyle'}",{'Self Wear'},{'Tidak Setuju'},{'Sangat Setuju'},{'Setuju'},{'Netral'},4
{'Alat Kantor/Sekolah'},{'Website Gramedia.com'},"{'Hiburan atau relaksasi', ""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)'}",{'Literasi'},{'Self Wear'},{'Netral'},{'Sangat Setuju'},{'Sangat Setuju'},{'Setuju'},1
{'Edukasi'},{'Toko alat tulis lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', ""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kado atau hadiah'}","{'Aktivitas Rekreasional', 'Seni'}","{'edukasi', 'Alat Seni'}",{'Netral'},{'Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},2
"{'Edukasi', 'Alat Kantor/Sekolah'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)'}","{'Aktivitas Rekreasional', 'Literasi', 'Lifestyle'}","{'Self Wear', 'edukasi'}",{'Netral'},{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},4
{'Alat Kantor/Sekolah'},{'Toko alat tulis lainnya'},"{'Hiburan atau relaksasi', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Aktivitas Rekreasional', 'Literasi', 'Seni'}","{'Self Wear', 'Alat Seni'}",{'Tidak Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},1
"{'Komik', 'Alat Kantor/Sekolah'}",{'Toko buku independen lainnya'},"{'Untuk mengekspresikan kreativitas', ""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kado atau hadiah'}",{'Aktivitas Rekreasional'},{'Alat Seni'},{'Netral'},{'Sangat Setuju'},{'Netral'},{'Sangat Setuju'},3
"{'Komik', 'Buku Anak', 'Sport & mainanan'}",{'Aplikasi Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri""}",{'Lifestyle'},{'edukasi'},{'Netral'},{'Sangat Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},3
{'Sport & mainanan'},{'Toko alat tulis lainnya'},"{'Hiburan atau relaksasi', 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Kado atau hadiah'}",{'Literasi'},{'Alat Seni'},{'Netral'},{'Tidak Setuju'},{'Netral'},{'Setuju'},1
{'Alat Kantor/Sekolah'},"{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Untuk mengekspresikan kreativitas', 'Kado atau hadiah'}","{'Literasi', 'Seni', 'Lifestyle'}","{'Self Wear', 'edukasi'}",{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},0
"{'Buku Non-Fiksi', 'Komik'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)'}","{'Aktivitas Rekreasional', 'Lifestyle'}",{'Daily needs'},{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Netral'},0
{'Buku Non-Fiksi'},{'Website Gramedia.com'},"{'Hiburan atau relaksasi', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}",{'Aktivitas Rekreasional'},"{'edukasi', 'Alat Seni'}",{'Tidak Setuju'},{'Tidak Setuju'},{'Netral'},{'Tidak Setuju'},1
"{'Novel Fiksi', 'Alat Kantor/Sekolah'}",{'Toko Gramedia'},"{'Hiburan atau relaksasi', 'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}",{'Seni'},{'edukasi'},{'Sangat Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},{'Setuju'},2
"{'Komik', 'Sport & mainanan', 'Alat Kantor/Sekolah'}",{'Aplikasi Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}",{'Aktivitas Rekreasional'},"{'edukasi', 'Daily needs'}",{'Netral'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},0
{'Buku Non-Fiksi'},{'Toko alat tulis lainnya'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)'}","{'Seni', 'Lifestyle'}",{'Self Wear'},{'Tidak Setuju'},{'Netral'},{'Netral'},{'Tidak Setuju'},1
"{'Komik', 'Sport & mainanan', 'Novel Fiksi'}",{'Toko buku independen lainnya'},"{'Hiburan atau relaksasi', 'Untuk mengekspresikan kreativitas'}","{'Literasi', 'Lifestyle'}",{'Daily needs'},{'Tidak Setuju'},{'Netral'},{'Setuju'},{'Sangat Setuju'},3
{'Novel Fiksi'},"{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Hiburan atau relaksasi', 'Menambah pengetahuan', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}",{'Seni'},{'Self Wear'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},0
"{'Buku Non-Fiksi', 'Alat Kantor/Sekolah'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Literasi', 'Lifestyle'}","{'Self Wear', 'Alat Seni'}",{'Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},2
