Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
Alat Kantor/Sekolah,Website Gramedia.com,Kado atau hadiah; Menambah pengetahuan,Aktivitas Rekreasional; Seni,Self Wear,Tidak Setuju,Setuju,Sangat Setuju,Sangat Setuju
Buku Anak; Edukasi; Novel Fiksi,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju
Alat Seni; Buku Anak,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi,Alat Seni; edukasi,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
Komik,Aplikasi Gramedia.com,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Self Wear,Tidak Setuju,Netral,Sangat Setuju,Sangat Tidak Setuju
Buku Non-Fiksi; Sport & mainanan,Website Gramedia.com,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Seni,Alat Seni; Daily needs; Self Wear,Sangat Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju
Alat Seni; Buku Non-Fiksi,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Lifestyle; Literasi,Alat Seni,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju
Alat Kantor/Sekolah; Buku Anak,Website Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional; Literasi,Daily needs; Self Wear; edukasi,Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju
Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Literasi,Self Wear; edukasi,Setuju,Setuju,Tidak Setuju,Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi,Aplikasi Gramedia.com,Menambah pengetahuan,Aktivitas Rekreasional; Literasi,Self Wear; edukasi,Sangat Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Daily needs; edukasi,Setuju,Sangat Setuju,Netral,Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Kado atau hadiah; Menambah pengetahuan,Seni,Alat Seni,Sangat Setuju,Netral,Setuju,Setuju
Alat Kantor/Sekolah; Komik,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle; Seni,Alat Seni; Daily needs; Self Wear,Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
Buku Non-Fiksi; Komik; Novel Fiksi,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle,Self Wear; edukasi,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral
Buku Non-Fiksi; Komik,Toko alat tulis lainnya,Menambah pengetahuan,Lifestyle; Seni,Alat Seni; edukasi,Sangat Setuju,Tidak Setuju,Setuju,Netral
Alat Seni,Toko buku independen lainnya,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Literasi,Alat Seni; Self Wear,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Toko Gramedia,Menambah pengetahuan,Aktivitas Rekreasional; Literasi; Seni,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju
Alat Seni; Edukasi,Website Gramedia.com,"Hiburan atau relaksasi; Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi,Self Wear; edukasi,Setuju,Sangat Tidak Setuju,Netral,Setuju
Komik; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi,Alat Seni; Self Wear; edukasi,Netral,Tidak Setuju,Tidak Setuju,Setuju
Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Literasi; Seni,Daily needs,Tidak Setuju,Tidak Setuju,Netral,Tidak Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi; Edukasi,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Literasi,Alat Seni; Daily needs; Self Wear,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Setuju
Edukasi; Komik; Sport & mainanan,Toko alat tulis lainnya,Kado atau hadiah; Menambah pengetahuan,Literasi,Alat Seni; Daily needs,Netral,Netral,Setuju,Sangat Setuju
Alat Seni; Buku Anak,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Seni,Self Wear,Tidak Setuju,Setuju,Netral,Sangat Setuju
Alat Kantor/Sekolah; Komik; Sport & mainanan,Toko Gramedia,Kado atau hadiah,Literasi; Seni,edukasi,Sangat Setuju,Tidak Setuju,Netral,Sangat Setuju
Alat Seni; Komik; Novel Fiksi,Website Gramedia.com,Hiburan atau relaksasi; Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Netral,Setuju
Alat Seni,Toko alat tulis lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional; Literasi,Alat Seni; edukasi,Tidak Setuju,Sangat Setuju,Setuju,Setuju
Buku Anak; Buku Non-Fiksi,Aplikasi Gramedia.com,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle; Seni,Alat Seni; edukasi,Sangat Setuju,Setuju,Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear,Setuju,Netral,Setuju,Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Komik,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Aktivitas Rekreasional; Literasi,Self Wear,Tidak Setuju,Netral,Sangat Setuju,Sangat Setuju
Alat Kantor/Sekolah; Sport & mainanan,Aplikasi Gramedia.com,Hiburan atau relaksasi; Kado atau hadiah; Untuk mengekspresikan kreativitas,Lifestyle,edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju
Buku Anak,Website Gramedia.com,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Lifestyle,Self Wear; edukasi,Sangat Tidak Setuju,Setuju,Tidak Setuju,Netral
Komik,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Literasi; Seni,Self Wear,Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju
Alat Kantor/Sekolah; Buku Anak; Sport & mainanan,Toko alat tulis lainnya,"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Lifestyle,Daily needs; Self Wear; edukasi,Tidak Setuju,Sangat Tidak Setuju,Netral,Netral
Alat Kantor/Sekolah; Alat Seni; Sport & mainanan,Toko buku independen lainnya,Hiburan atau relaksasi; Kado atau hadiah,Literasi,Daily needs; Self Wear; edukasi,Sangat Setuju,Setuju,Netral,Sangat Setuju
Alat Seni; Komik,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear; edukasi,Sangat Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah,Toko Gramedia,Hiburan atau relaksasi,Aktivitas Rekreasional; Lifestyle; Literasi,edukasi,Sangat Setuju,Sangat Setuju,Setuju,Netral
Buku Non-Fiksi; Novel Fiksi,Aplikasi Gramedia.com,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,edukasi,Sangat Setuju,Sangat Tidak Setuju,Setuju,Sangat Setuju
Edukasi,Aplikasi Gramedia.com,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Seni,Alat Seni; Daily needs,Setuju,Setuju,Sangat Setuju,Setuju
Alat Seni; Edukasi; Sport & mainanan,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Seni,Self Wear; edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju
Alat Seni; Buku Non-Fiksi; Sport & mainanan,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,edukasi,Netral,Setuju,Sangat Setuju,Setuju
Alat Kantor/Sekolah; Buku Anak,Toko alat tulis lainnya,Hiburan atau relaksasi,Seni,Alat Seni; Self Wear,Tidak Setuju,Tidak Setuju,Netral,Setuju
Buku Non-Fiksi; Novel Fiksi; Sport & mainanan,Aplikasi Gramedia Digital (ebook),Kado atau hadiah; Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle; Literasi,Alat Seni; edukasi,Setuju,Tidak Setuju,Netral,Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Buku Anak,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Lifestyle,Alat Seni,Setuju,Sangat Setuju,Tidak Setuju,Netral
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Alat Seni; Self Wear; edukasi,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Edukasi,Toko alat tulis lainnya,"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju
Sport & mainanan,Toko Gramedia,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Literasi; Seni,Daily needs; Self Wear; edukasi,Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Buku Anak; Edukasi,Toko buku independen lainnya,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle,Self Wear; edukasi,Tidak Setuju,Sangat Setuju,Netral,Tidak Setuju
Buku Anak; Buku Non-Fiksi; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle; Literasi,edukasi,Netral,Tidak Setuju,Tidak Setuju,Netral
Alat Kantor/Sekolah; Komik,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Lifestyle; Seni,Self Wear; edukasi,Netral,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Alat Seni,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan; Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Sangat Setuju,Tidak Setuju,Netral,Netral
Alat Kantor/Sekolah,Toko alat tulis lainnya,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Seni,Self Wear; edukasi,Setuju,Netral,Tidak Setuju,Netral
Alat Kantor/Sekolah; Alat Seni; Novel Fiksi,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Self Wear,Setuju,Sangat Setuju,Tidak Setuju,Netral
Buku Non-Fiksi; Novel Fiksi,Toko alat tulis lainnya,"Hiburan atau relaksasi; Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle,Daily needs; Self Wear,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral
Buku Anak; Komik,Aplikasi Gramedia.com,Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Literasi; Seni,Self Wear; edukasi,Sangat Tidak Setuju,Tidak Setuju,Netral,Netral
Komik,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle; Literasi; Seni,Self Wear; edukasi,Netral,Setuju,Sangat Tidak Setuju,Netral
Alat Kantor/Sekolah; Buku Non-Fiksi; Sport & mainanan,Toko Gramedia,Hiburan atau relaksasi; Kado atau hadiah,Aktivitas Rekreasional; Lifestyle,Self Wear,Tidak Setuju,Sangat Setuju,Setuju,Netral
Alat Kantor/Sekolah,Website Gramedia.com,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi,Self Wear,Netral,Sangat Setuju,Sangat Setuju,Setuju
Edukasi,Toko alat tulis lainnya,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Seni,Alat Seni; edukasi,Netral,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Edukasi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear; edukasi,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral
Alat Kantor/Sekolah,Toko alat tulis lainnya,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Literasi; Seni,Alat Seni; Self Wear,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Komik,Toko buku independen lainnya,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Alat Seni,Netral,Sangat Setuju,Netral,Sangat Setuju
Buku Anak; Komik; Sport & mainanan,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,edukasi,Netral,Sangat Setuju,Tidak Setuju,Tidak Setuju
Sport & mainanan,Toko alat tulis lainnya,"Hiburan atau relaksasi; Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Alat Seni,Netral,Tidak Setuju,Netral,Setuju
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah; Untuk mengekspresikan kreativitas,Lifestyle; Literasi; Seni,Self Wear; edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
Buku Non-Fiksi; Komik,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Lifestyle,Daily needs,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral
Buku Non-Fiksi,Website Gramedia.com,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Alat Seni; edukasi,Tidak Setuju,Tidak Setuju,Netral,Tidak Setuju
Alat Kantor/Sekolah; Novel Fiksi,Toko Gramedia,Hiburan atau relaksasi; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Seni,edukasi,Sangat Setuju,Tidak Setuju,Tidak Setuju,Setuju
Alat Kantor/Sekolah; Komik; Sport & mainanan,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Daily needs; edukasi,Netral,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju
Buku Non-Fiksi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle; Seni,Self Wear,Tidak Setuju,Netral,Netral,Tidak Setuju
Komik; Novel Fiksi; Sport & mainanan,Toko buku independen lainnya,Hiburan atau relaksasi; Untuk mengekspresikan kreativitas,Lifestyle; Literasi,Daily needs,Tidak Setuju,Netral,Setuju,Sangat Setuju
Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi; Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Literasi,Alat Seni; Self Wear,Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
Buku Anak,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Komik,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle; Literasi; Seni,Self Wear; edukasi,Netral,Netral,Tidak Setuju,Setuju
Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional,Alat Seni; edukasi,Setuju,Netral,Sangat Setuju,Netral
Alat Kantor/Sekolah; Komik,Aplikasi Gramedia.com,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle,Daily needs; Self Wear; edukasi,Netral,Setuju,Sangat Setuju,Sangat Setuju
Alat Seni; Komik,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Seni,Daily needs; Self Wear; edukasi,Sangat Setuju,Netral,Setuju,Tidak Setuju
Buku Non-Fiksi,Toko buku independen lainnya,Hiburan atau relaksasi; Menambah pengetahuan,Literasi; Seni,Alat Seni; edukasi,Tidak Setuju,Netral,Sangat Setuju,Netral
Alat Seni; Sport & mainanan,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Aktivitas Rekreasional,Alat Seni; edukasi,Netral,Sangat Setuju,Netral,Sangat Tidak Setuju
Alat Kantor/Sekolah; Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Lifestyle; Literasi,Daily needs; edukasi,Sangat Tidak Setuju,Setuju,Netral,Tidak Setuju
Buku Non-Fiksi; Sport & mainanan,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi; Seni,Self Wear; edukasi,Sangat Setuju,Sangat Setuju,Setuju,Netral
Alat Seni,Website Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional; Literasi; Seni,Self Wear; edukasi,Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Seni; Buku Non-Fiksi; Komik,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Daily needs,Netral,Setuju,Setuju,Netral
Komik,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Daily needs; Self Wear; edukasi,Sangat Tidak Setuju,Sangat Setuju,Netral,Setuju
Alat Kantor/Sekolah; Alat Seni; Edukasi,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Lifestyle; Seni,Daily needs,Netral,Tidak Setuju,Tidak Setuju,Setuju
Buku Anak,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle; Seni,Self Wear; edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
Buku Non-Fiksi; Komik,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Untuk mengekspresikan kreativitas",Seni,Alat Seni,Netral,Tidak Setuju,Sangat Setuju,Netral
Alat Kantor/Sekolah; Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Daily needs; Self Wear,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Sport & mainanan,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Lifestyle; Literasi,edukasi,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Buku Non-Fiksi; Komik; Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Untuk mengekspresikan kreativitas",Literasi,Self Wear,Sangat Setuju,Setuju,Netral,Sangat Tidak Setuju
Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Daily needs; edukasi,Tidak Setuju,Setuju,Sangat Setuju,Sangat Setuju
Alat Kantor/Sekolah; Komik,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,edukasi,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
Edukasi; Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Daily needs; edukasi,Setuju,Tidak Setuju,Tidak Setuju,Setuju
Alat Seni; Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear,Sangat Tidak Setuju,Netral,Setuju,Sangat Setuju
Alat Kantor/Sekolah; Buku Anak,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Seni,Alat Seni; Self Wear; edukasi,Netral,Sangat Setuju,Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Aplikasi Gramedia.com,Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Lifestyle; Literasi,Alat Seni,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju
Alat Kantor/Sekolah; Edukasi; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Lifestyle,Daily needs; Self Wear,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Buku Anak,Toko Gramedia,Kado atau hadiah,Literasi,Self Wear,Setuju,Netral,Tidak Setuju,Netral
