ID,Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
57,Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,edukasi,Netral,Tidak Setuju,Tidak Setuju,Netral
58,Alat Kantor/Sekolah,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Seni,Self Wear,Netral,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
59,Alat Seni,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Sangat Setuju,Tidak Setuju,Netral,Netral
60,Alat Kantor/Sekolah,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,edukasi,Setuju,Netral,Tidak Setuju,Netral
61,Novel Fiksi,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Self Wear,Setuju,Sangat Setuju,Tidak Setuju,Netral
62,Novel Fiksi,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Daily needs,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral
63,Buku Anak,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Seni,Self Wear,Sangat Tidak Setuju,Tidak Setuju,Netral,Netral
64,Komik,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Self Wear,Netral,Setuju,Sangat Tidak Setuju,Netral
65,Buku Non-Fiksi,Toko Gramedia,Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Tidak Setuju,Sangat Setuju,Setuju,Netral
66,Alat Kantor/Sekolah,Website Gramedia.com,Hiburan atau relaksasi,Literasi,Self Wear,Netral,Sangat Setuju,Sangat Setuju,Setuju
67,Edukasi,Toko alat tulis lainnya,Kado atau hadiah,Seni,Alat Seni,Netral,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
68,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,edukasi,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral
69,Alat Kantor/Sekolah,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Alat Seni,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
70,Komik,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Alat Seni,Netral,Sangat Setuju,Netral,Sangat Setuju
71,Sport & mainanan,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,edukasi,Netral,Sangat Setuju,Tidak Setuju,Tidak Setuju
72,Sport & mainanan,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Alat Seni,Netral,Tidak Setuju,Netral,Setuju
73,Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Seni,edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
74,Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Daily needs,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral
75,Buku Non-Fiksi,Website Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional,edukasi,Tidak Setuju,Tidak Setuju,Netral,Tidak Setuju
76,Novel Fiksi,Toko Gramedia,Menambah pengetahuan,Seni,edukasi,Sangat Setuju,Tidak Setuju,Tidak Setuju,Setuju
77,Komik,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Daily needs,Netral,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju
78,Buku Non-Fiksi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Self Wear,Tidak Setuju,Netral,Netral,Tidak Setuju
79,Sport & mainanan,Toko buku independen lainnya,Hiburan atau relaksasi,Literasi,Daily needs,Tidak Setuju,Netral,Setuju,Sangat Setuju
80,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Seni,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju
81,Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Self Wear,Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
82,Buku Anak,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
83,Alat Kantor/Sekolah,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,edukasi,Netral,Netral,Tidak Setuju,Setuju
84,Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Alat Seni,Setuju,Netral,Sangat Setuju,Netral
85,Alat Kantor/Sekolah,Aplikasi Gramedia.com,Kado atau hadiah,Lifestyle,Self Wear,Netral,Setuju,Sangat Setuju,Sangat Setuju
86,Alat Seni,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Daily needs,Sangat Setuju,Netral,Setuju,Tidak Setuju
87,Buku Non-Fiksi,Toko buku independen lainnya,Hiburan atau relaksasi,Seni,Alat Seni,Tidak Setuju,Netral,Sangat Setuju,Netral
88,Alat Seni,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Aktivitas Rekreasional,Alat Seni,Netral,Sangat Setuju,Netral,Sangat Tidak Setuju
89,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Literasi,edukasi,Sangat Tidak Setuju,Setuju,Netral,Tidak Setuju
90,Sport & mainanan,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,edukasi,Sangat Setuju,Sangat Setuju,Setuju,Netral
91,Alat Seni,Website Gramedia.com,Hiburan atau relaksasi,Seni,Self Wear,Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
92,Alat Seni,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Daily needs,Netral,Setuju,Setuju,Netral
93,Komik,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Daily needs,Sangat Tidak Setuju,Sangat Setuju,Netral,Setuju
94,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Daily needs,Netral,Tidak Setuju,Tidak Setuju,Setuju
95,Buku Anak,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
96,Komik,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Seni,Alat Seni,Netral,Tidak Setuju,Sangat Setuju,Netral
97,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Seni,Daily needs,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
98,Sport & mainanan,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,edukasi,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
99,Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Self Wear,Sangat Setuju,Setuju,Netral,Sangat Tidak Setuju
100,Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Aktivitas Rekreasional,edukasi,Tidak Setuju,Setuju,Sangat Setuju,Sangat Setuju
101,Alat Kantor/Sekolah,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,edukasi,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
102,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,edukasi,Setuju,Tidak Setuju,Tidak Setuju,Setuju
103,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Literasi,Self Wear,Sangat Tidak Setuju,Netral,Setuju,Sangat Setuju
104,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Aktivitas Rekreasional,edukasi,Netral,Sangat Setuju,Tidak Setuju,Tidak Setuju
105,Sport & mainanan,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Alat Seni,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju
106,Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
107,Buku Anak,Toko Gramedia,Kado atau hadiah,Literasi,Self Wear,Setuju,Netral,Tidak Setuju,Netral
108,Novel Fiksi,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral
109,Sport & mainanan,Aplikasi Gramedia.com,Menambah pengetahuan,Seni,edukasi,Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Setuju
110,Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,edukasi,Sangat Setuju,Netral,Sangat Tidak Setuju,Tidak Setuju
111,Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Tidak Setuju,Setuju,Sangat Tidak Setuju
112,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Literasi,edukasi,Netral,Tidak Setuju,Tidak Setuju,Setuju
113,Buku Non-Fiksi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,edukasi,Sangat Setuju,Netral,Sangat Tidak Setuju,Tidak Setuju
114,Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,edukasi,Netral,Tidak Setuju,Tidak Setuju,Netral
115,Buku Non-Fiksi,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Daily needs,Sangat Tidak Setuju,Tidak Setuju,Setuju,Sangat Setuju
116,Alat Kantor/Sekolah,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Alat Seni,Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju
117,Novel Fiksi,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Alat Seni,Sangat Tidak Setuju,Sangat Setuju,Setuju,Sangat Tidak Setuju
118,Sport & mainanan,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Daily needs,Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral
119,Alat Kantor/Sekolah,Toko buku independen lainnya,Kado atau hadiah,Aktivitas Rekreasional,Daily needs,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
120,Sport & mainanan,Toko Gramedia,Untuk mengekspresikan kreativitas,Lifestyle,Daily needs,Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
121,Alat Seni,Aplikasi Gramedia.com,Hiburan atau relaksasi,Seni,Self Wear,Sangat Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju
122,Edukasi,Website Gramedia.com,Menambah pengetahuan,Literasi,edukasi,Netral,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
123,Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Lifestyle,edukasi,Netral,Sangat Tidak Setuju,Sangat Setuju,Netral
124,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Literasi,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
125,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,edukasi,Netral,Setuju,Setuju,Tidak Setuju
126,Buku Non-Fiksi,Website Gramedia.com,Menambah pengetahuan,Aktivitas Rekreasional,edukasi,Tidak Setuju,Sangat Setuju,Setuju,Tidak Setuju
127,Komik,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Daily needs,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju
128,Alat Seni,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Seni,Self Wear,Sangat Tidak Setuju,Netral,Netral,Setuju
129,Komik,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Daily needs,Netral,Tidak Setuju,Tidak Setuju,Netral
130,Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Lifestyle,Alat Seni,Setuju,Setuju,Netral,Tidak Setuju
131,Alat Kantor/Sekolah,Website Gramedia.com,Kado atau hadiah,Seni,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
132,Sport & mainanan,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,edukasi,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju
133,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Literasi,Alat Seni,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
134,Buku Anak,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Daily needs,Sangat Setuju,Netral,Netral,Setuju
135,Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Seni,Daily needs,Netral,Setuju,Netral,Sangat Setuju
136,Alat Kantor/Sekolah,Toko Gramedia,Untuk mengekspresikan kreativitas,Lifestyle,Self Wear,Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju
137,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Seni,Self Wear,Sangat Setuju,Netral,Setuju,Netral
138,Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Seni,Self Wear,Netral,Sangat Tidak Setuju,Netral,Setuju
139,Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Aktivitas Rekreasional,edukasi,Tidak Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
140,Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Alat Seni,Netral,Sangat Setuju,Sangat Setuju,Netral
141,Buku Anak,Website Gramedia.com,Untuk mengekspresikan kreativitas,Literasi,Alat Seni,Sangat Setuju,Netral,Setuju,Netral
142,Alat Seni,Website Gramedia.com,Untuk mengekspresikan kreativitas,Seni,Alat Seni,Setuju,Netral,Netral,Sangat Setuju
143,Sport & mainanan,Aplikasi Gramedia.com,Kado atau hadiah,Lifestyle,Daily needs,Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju
144,Edukasi,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Self Wear,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
145,Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Seni,Self Wear,Setuju,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju
146,Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Seni,edukasi,Sangat Setuju,Netral,Tidak Setuju,Netral
