ID,Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
53,Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Melukis atau menggambar,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
54,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling,Kesehatan dan Kecantikan,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju
55,Alat Olahraga,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi,Kesehatan dan Kecantikan,Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju
56,Buku Anak,Toko buku independen lainnya,Kado atau hadiah,Travelling,Kesehatan dan Kecantikan,Tidak Setuju,Sangat Setuju,Netral,Tidak Setuju
57,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Membaca buku atau majalah,"Buku fiksi (novel, komik, buku anak)",Netral,Tidak Setuju,Tidak Setuju,Netral
58,Jurnal/Perencana (Planner),Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Melukis atau menggambar,Alat Olahraga,Netral,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
59,Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Travelling,Alat Olahraga,Sangat Setuju,Tidak Setuju,Netral,Netral
60,Jurnal/Perencana (Planner),Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Netral,Tidak Setuju,Netral
61,Novel Fiksi,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online),Mainan,Setuju,Sangat Setuju,Tidak Setuju,Netral
62,Novel Fiksi,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling,Alat Tulis kantor atau sekolah,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral
63,Buku Anak,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Bermain musik,Mainan,Sangat Tidak Setuju,Tidak Setuju,Netral,Netral
64,Komik/Novel Grafis,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline,Kesehatan dan Kecantikan,Netral,Setuju,Sangat Tidak Setuju,Netral
65,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Kado atau hadiah,Olahraga,Alat Olahraga,Tidak Setuju,Sangat Setuju,Setuju,Netral
66,Jurnal/Perencana (Planner),Website Gramedia.com,Hiburan atau relaksasi,Membaca buku atau majalah,Kesehatan dan Kecantikan,Netral,Sangat Setuju,Sangat Setuju,Setuju
67,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Kado atau hadiah,Melukis atau menggambar,Alat Musik & kesenian,Netral,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
68,Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral
69,Jurnal/Perencana (Planner),Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar,Alat Musik & kesenian,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
70,Komik/Novel Grafis,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online),Alat Musik & kesenian,Netral,Sangat Setuju,Netral,Sangat Setuju
71,Alat Olahraga,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Sangat Setuju,Tidak Setuju,Tidak Setuju
72,Mainan/Collectible item,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)",Alat Musik & kesenian,Netral,Tidak Setuju,Netral,Setuju
73,Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Bermain musik,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
74,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,Alat Tulis kantor atau sekolah,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral
75,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,Hiburan atau relaksasi,Bermain game (offline/online),"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Tidak Setuju,Netral,Tidak Setuju
76,Novel Fiksi,Toko Gramedia,Menambah pengetahuan,Bermain musik,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Tidak Setuju,Tidak Setuju,Setuju
77,Komik/Novel Grafis,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga,Alat Tulis kantor atau sekolah,Netral,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju
78,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,Mainan,Tidak Setuju,Netral,Netral,Tidak Setuju
79,Mainan/Collectible item,Toko buku independen lainnya,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya)",Alat Tulis kantor atau sekolah,Tidak Setuju,Netral,Setuju,Sangat Setuju
80,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Bermain musik,Mainan,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju
81,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling,Alat Olahraga,Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
82,Buku Anak,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Menghadiri acara budaya atau edukasi,Kesehatan dan Kecantikan,Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
83,Alat Tulis Umum (Kantor/Sekolah),Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Netral,Tidak Setuju,Setuju
84,Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga,Alat Musik & kesenian,Setuju,Netral,Sangat Setuju,Netral
85,Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,Kado atau hadiah,Belanja online/offline,Mainan,Netral,Setuju,Sangat Setuju,Sangat Setuju
86,Alat Musik,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Menghadiri acara budaya atau edukasi,Alat Tulis kantor atau sekolah,Sangat Setuju,Netral,Setuju,Tidak Setuju
87,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,Hiburan atau relaksasi,Melukis atau menggambar,Alat Musik & kesenian,Tidak Setuju,Netral,Sangat Setuju,Netral
88,Alat Musik,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Menghadiri acara budaya atau edukasi,Alat Musik & kesenian,Netral,Sangat Setuju,Netral,Sangat Tidak Setuju
89,Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Membaca buku atau majalah,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Setuju,Netral,Tidak Setuju
90,Mainan/Collectible item,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Sangat Setuju,Setuju,Netral
91,Alat Musik,Website Gramedia.com,Hiburan atau relaksasi,Melukis atau menggambar,Kesehatan dan Kecantikan,Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
92,Perlengkapan Seni/Kreatif,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online),Alat Tulis kantor atau sekolah,Netral,Setuju,Setuju,Netral
93,Komik/Novel Grafis,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Sangat Setuju,Netral,Setuju
94,Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Menghadiri acara budaya atau edukasi,Alat Tulis kantor atau sekolah,Netral,Tidak Setuju,Tidak Setuju,Setuju
95,Buku Anak,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
96,Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Melukis atau menggambar,Alat Musik & kesenian,Netral,Tidak Setuju,Sangat Setuju,Netral
97,Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Bermain musik,Alat Tulis kantor atau sekolah,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
98,Mainan/Collectible item,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Olahraga,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
99,Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)",Kesehatan dan Kecantikan,Sangat Setuju,Setuju,Netral,Sangat Tidak Setuju
100,Alat Musik,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Bermain game (offline/online),"Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Setuju,Sangat Setuju,Sangat Setuju
101,Alat Tulis Umum (Kantor/Sekolah),Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
102,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar,"Buku fiksi (novel, komik, buku anak)",Setuju,Tidak Setuju,Tidak Setuju,Setuju
103,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Menulis (diari, blog, atau lainnya)",Alat Olahraga,Sangat Tidak Setuju,Netral,Setuju,Sangat Setuju
104,Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Bermain game (offline/online),"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Sangat Setuju,Tidak Setuju,Tidak Setuju
105,Alat Olahraga,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online),Alat Musik & kesenian,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju
106,Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),Mainan,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
107,Buku Anak,Toko Gramedia,Kado atau hadiah,Membaca buku atau majalah,Kesehatan dan Kecantikan,Setuju,Netral,Tidak Setuju,Netral
108,Novel Fiksi,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral
109,Alat Olahraga,Aplikasi Gramedia.com,Menambah pengetahuan,Melukis atau menggambar,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Setuju
110,Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Olahraga,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Netral,Sangat Tidak Setuju,Tidak Setuju
111,Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),Alat Olahraga,Sangat Tidak Setuju,Tidak Setuju,Setuju,Sangat Tidak Setuju
112,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Membaca buku atau majalah,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Tidak Setuju,Tidak Setuju,Setuju
113,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Netral,Sangat Tidak Setuju,Tidak Setuju
114,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online),"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Tidak Setuju,Tidak Setuju,Netral
115,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Menghadiri acara budaya atau edukasi,Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Tidak Setuju,Setuju,Sangat Setuju
116,Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),Alat Musik & kesenian,Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju
117,Novel Fiksi,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga,Alat Musik & kesenian,Sangat Tidak Setuju,Sangat Setuju,Setuju,Sangat Tidak Setuju
118,Mainan/Collectible item,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar,Alat Tulis kantor atau sekolah,Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral
