Produk sering beli,Saluran belanja,Motivasi utama pembelian
Komik/Novel Grafis,"Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga","Toko Gramedia, Toko buku independen lainnya",Sebagai bentuk 'self-reward' atau apresiasi diri
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Kantor atau Sekolah, Buku Anak",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Menambah pengetahuan"
Alat Olahraga,"Toko alat tulis lainnya, Aplikasi Gramedia Digital (ebook)","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko alat tulis lainnya, Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Alat Musik,"Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya","Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item","Toko Gramedia, Website Gramedia.com, Aplikasi Gramedia.com","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif",Website Gramedia.com,"Hiburan atau relaksasi, Kado atau hadiah"
"Komik/Novel Grafis, Mainan/Collectible item","Website Gramedia.com, Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook)","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Alat Olahraga, Mainan/Collectible item",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas
"Alat Olahraga, Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri
"Alat Musik, Buku Anak","Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Olahraga, Jurnal/Perencana (Planner), Komik/Novel Grafis","Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya",Sebagai bentuk 'self-reward' atau apresiasi diri
"Perlengkapan Seni/Kreatif, Novel Fiksi, Komik/Novel Grafis",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri
Perlengkapan Seni/Kreatif,"Toko buku independen lainnya, Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Menambah pengetahuan"
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Aplikasi Gramedia.com, Toko Gramedia, Toko buku independen lainnya",Menambah pengetahuan
Perlengkapan Kantor atau Sekolah,"Website Gramedia.com, Toko Gramedia","Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya",Sebagai bentuk 'self-reward' atau apresiasi diri
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)","Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com, Toko Gramedia","Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Buku Anak,"Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
Komik/Novel Grafis,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Jurnal/Perencana (Planner), Alat Olahraga, Buku Anak","Aplikasi Gramedia Digital (ebook), Toko alat tulis lainnya, Website Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Perlengkapan Kantor atau Sekolah, Alat Musik, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook)","Hiburan atau relaksasi, Menambah pengetahuan, Kado atau hadiah"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
Jurnal/Perencana (Planner),"Aplikasi Gramedia.com, Website Gramedia.com, Toko Gramedia",Kado atau hadiah
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item, Alat Musik","Toko alat tulis lainnya, Toko buku independen lainnya, Website Gramedia.com",Untuk mengekspresikan kreativitas
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik, Mainan/Collectible item","Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com, Toko buku independen lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Anak",Toko Gramedia,Untuk mengekspresikan kreativitas
"Novel Fiksi, Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Jurnal/Perencana (Planner), Buku Anak, Perlengkapan Seni/Kreatif","Aplikasi Gramedia.com, Toko alat tulis lainnya","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
Buku Anak,Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
Alat Olahraga,"Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Anak, Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook), Toko Gramedia","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Buku Anak",Toko Gramedia,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia","Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Jurnal/Perencana (Planner),Aplikasi Gramedia.com,Kado atau hadiah
"Novel Fiksi, Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif","Aplikasi Gramedia Digital (ebook), Toko Gramedia",Kado atau hadiah
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.), Website Gramedia.com, Toko alat tulis lainnya","Hiburan atau relaksasi, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Anak, Komik/Novel Grafis","Website Gramedia.com, Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook)",Kado atau hadiah
Komik/Novel Grafis,Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah)","Aplikasi Gramedia.com, Toko alat tulis lainnya",Hiburan atau relaksasi
Jurnal/Perencana (Planner),"Website Gramedia.com, Toko Gramedia","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah","Toko alat tulis lainnya, Toko Gramedia","Kado atau hadiah, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Jurnal/Perencana (Planner)","Aplikasi Gramedia.com, Website Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Olahraga, Komik/Novel Grafis, Buku Anak","Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Menambah pengetahuan"
"Mainan/Collectible item, Alat Olahraga","Website Gramedia.com, Aplikasi Gramedia Digital (ebook), Toko Gramedia","Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)",Aplikasi Gramedia.com,Menambah pengetahuan
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko alat tulis lainnya, Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Novel Fiksi, Perlengkapan Kantor atau Sekolah","Toko alat tulis lainnya, Aplikasi Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah, Alat Olahraga","Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.), Website Gramedia.com, Aplikasi Gramedia.com","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Mainan/Collectible item, Novel Fiksi, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)","Website Gramedia.com, Aplikasi Gramedia Digital (ebook)","Kado atau hadiah, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
Buku Anak,"Aplikasi Gramedia.com, Toko buku independen lainnya","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis, Jurnal/Perencana (Planner)","Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri
Alat Olahraga,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis","Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Alat Musik, Komik/Novel Grafis","Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Alat Musik, Perlengkapan Seni/Kreatif, Alat Olahraga","Website Gramedia.com, Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Mainan/Collectible item, Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko buku independen lainnya, Website Gramedia.com","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
Alat Musik,"Toko alat tulis lainnya, Aplikasi Gramedia.com",Hiburan atau relaksasi
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis","Toko Gramedia, Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Komik/Novel Grafis,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik","Website Gramedia.com, Aplikasi Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Buku Anak,"Website Gramedia.com, Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko Gramedia, Aplikasi Gramedia Digital (ebook)","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook)",Hiburan atau relaksasi
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis","Toko Gramedia, Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Alat Musik,"Toko buku independen lainnya, Toko Gramedia, Toko alat tulis lainnya","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis",Toko buku independen lainnya,Hiburan atau relaksasi
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Aplikasi Gramedia.com, Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Novel Fiksi, Alat Musik","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak","Toko buku independen lainnya, Toko alat tulis lainnya, Aplikasi Gramedia Digital (ebook)","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Olahraga, Jurnal/Perencana (Planner)","Toko alat tulis lainnya, Aplikasi Gramedia Digital (ebook)","Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Kado atau hadiah, Hiburan atau relaksasi"
Buku Anak,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas
Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Alat Olahraga, Jurnal/Perencana (Planner), Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya, Toko buku independen lainnya",Untuk mengekspresikan kreativitas
"Perlengkapan Seni/Kreatif, Novel Fiksi, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.), Website Gramedia.com, Aplikasi Gramedia Digital (ebook)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Mainan/Collectible item","Aplikasi Gramedia Digital (ebook), Toko alat tulis lainnya",Hiburan atau relaksasi
Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya, Toko alat tulis lainnya","Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Menambah pengetahuan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
Perlengkapan Kantor atau Sekolah,"Toko Gramedia, Toko alat tulis lainnya","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Novel Fiksi, Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Website Gramedia.com, Aplikasi Gramedia.com, Toko buku independen lainnya",Untuk mengekspresikan kreativitas
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah","Aplikasi Gramedia Digital (ebook), Website Gramedia.com","Hiburan atau relaksasi, Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif, Buku Anak","Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com, Toko alat tulis lainnya","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Buku Anak","Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com","Untuk mengekspresikan kreativitas, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri
Novel Fiksi,"Toko Gramedia, Toko alat tulis lainnya, Aplikasi Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Kantor atau Sekolah, Alat Olahraga","Toko Gramedia, Toko buku independen lainnya, Website Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Jurnal/Perencana (Planner), Buku Anak","Website Gramedia.com, Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan
Perlengkapan Seni/Kreatif,"Aplikasi Gramedia Digital (ebook), Website Gramedia.com","Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Komik/Novel Grafis,"Toko buku independen lainnya, Website Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
